"trial","subject_id","net","vignette","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","raw_err1","raw_err2","raw_err3","err1","err2","err3","overestimate","discrete_correct_1","discrete_correct_2","discrete_correct_3","abs_chg_err","chg_err","acc1","acc2","acc3"
1,1582,"Control",1.1,15,15,15,"C","C","C",14,"C",1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,-1,-1,-1
1,402,"Control",1.1,40,NA,NA,"A",NA,NA,14,"C",26,NA,NA,26,NA,NA,TRUE,FALSE,NA,NA,NA,NA,-26,NA,NA
1,1011,"Control",1.1,10,8,8,"B","B","B",14,"C",-4,-6,-6,4,6,6,FALSE,FALSE,FALSE,FALSE,2,2,-4,-6,-6
1,2125,"Control",1.1,75,60,60,"C","B","C",14,"C",61,46,46,61,46,46,TRUE,TRUE,FALSE,TRUE,15,-15,-61,-46,-46
1,134,"Control",1.1,65,NA,65,"C",NA,"C",14,"C",51,NA,51,51,NA,51,TRUE,TRUE,NA,TRUE,0,0,-51,NA,-51
1,1181,"Control",1.1,NA,20,40,NA,"C","B",14,"C",NA,6,26,NA,6,26,NA,NA,TRUE,FALSE,NA,NA,NA,-6,-26
1,1797,"Control",1.1,5,6,10,"B","A","A",14,"C",-9,-8,-4,9,8,4,FALSE,FALSE,FALSE,FALSE,5,-5,-9,-8,-4
1,2055,"Control",1.1,15,14,5,"B","C","B",14,"C",1,0,-9,1,0,9,TRUE,FALSE,TRUE,FALSE,8,8,-1,0,-9
1,2260,"Control",1.1,2,10,5,"C","B","B",14,"C",-12,-4,-9,12,4,9,FALSE,TRUE,FALSE,FALSE,3,-3,-12,-4,-9
1,1673,"Control",1.1,10,1,15,"C","C","C",14,"C",-4,-13,1,4,13,1,FALSE,TRUE,TRUE,TRUE,3,-3,-4,-13,-1
1,2037,"Control",1.1,50,25,75,"C","C","C",14,"C",36,11,61,36,11,61,TRUE,TRUE,TRUE,TRUE,25,25,-36,-11,-61
1,42,"Control",1.1,5,1,1,"C","B","B",14,"C",-9,-13,-13,9,13,13,FALSE,TRUE,FALSE,FALSE,4,4,-9,-13,-13
1,1701,"Control",1.1,NA,30,30,NA,"C","C",14,"C",NA,16,16,NA,16,16,NA,NA,TRUE,TRUE,NA,NA,NA,-16,-16
1,2195,"Control",1.1,5,2,4,"C","C","C",14,"C",-9,-12,-10,9,12,10,FALSE,TRUE,TRUE,TRUE,1,1,-9,-12,-10
1,1789,"Control",1.1,70,90,90,"C","C","C",14,"C",56,76,76,56,76,76,TRUE,TRUE,TRUE,TRUE,20,20,-56,-76,-76
1,513,"Control",1.1,100,90,50,"A","C","A",14,"C",86,76,36,86,76,36,TRUE,FALSE,TRUE,FALSE,50,-50,-86,-76,-36
1,2024,"Control",1.1,15,15,15,"C","C","C",14,"C",1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,-1,-1,-1
1,1554,"Control",1.1,5,5,5,"C","C","C",14,"C",-9,-9,-9,9,9,9,FALSE,TRUE,TRUE,TRUE,0,0,-9,-9,-9
1,234,"Control",1.1,2,7,13,"B","B","B",14,"C",-12,-7,-1,12,7,1,FALSE,FALSE,FALSE,FALSE,11,-11,-12,-7,-1
1,1773,"Control",1.1,5,3,3,"B","B","B",14,"C",-9,-11,-11,9,11,11,FALSE,FALSE,FALSE,FALSE,2,2,-9,-11,-11
1,923,"Control",1.1,60,60,40,"C","B","B",14,"C",46,46,26,46,46,26,TRUE,TRUE,FALSE,FALSE,20,-20,-46,-46,-26
1,563,"Control",1.1,2,4,3,"C","C","C",14,"C",-12,-10,-11,12,10,11,FALSE,TRUE,TRUE,TRUE,1,-1,-12,-10,-11
1,2240,"Control",1.1,8,2,1,"C","C","C",14,"C",-6,-12,-13,6,12,13,FALSE,TRUE,TRUE,TRUE,7,7,-6,-12,-13
1,1736,"Control",1.1,15,15,12,"C","C","C",14,"C",1,1,-2,1,1,2,TRUE,TRUE,TRUE,TRUE,1,1,-1,-1,-2
1,385,"Control",1.1,60,70,1,"C","C","B",14,"C",46,56,-13,46,56,13,TRUE,TRUE,TRUE,FALSE,33,-33,-46,-56,-13
1,1901,"Control",1.1,57,50,50,"A","C","A",14,"C",43,36,36,43,36,36,TRUE,FALSE,TRUE,FALSE,7,-7,-43,-36,-36
1,1765,"Control",1.1,40,40,40,"B","B","B",14,"C",26,26,26,26,26,26,TRUE,FALSE,FALSE,FALSE,0,0,-26,-26,-26
1,1822,"Control",1.1,25,25,25,"B","B","B",14,"C",11,11,11,11,11,11,TRUE,FALSE,FALSE,FALSE,0,0,-11,-11,-11
1,377,"Control",1.1,NA,85,16,NA,"A","A",14,"C",NA,71,2,NA,71,2,NA,NA,FALSE,FALSE,NA,NA,NA,-71,-2
1,985,"Control",1.1,15,5,25,"A","A","A",14,"C",1,-9,11,1,9,11,TRUE,FALSE,FALSE,FALSE,10,10,-1,-9,-11
1,1800,"Control",1.1,25,30,30,"A","C","C",14,"C",11,16,16,11,16,16,TRUE,FALSE,TRUE,TRUE,5,5,-11,-16,-16
1,194,"Control",1.1,NA,15,15,NA,"A","A",14,"C",NA,1,1,NA,1,1,NA,NA,FALSE,FALSE,NA,NA,NA,-1,-1
1,881,"Control",1.1,50,15,15,"A","C","C",14,"C",36,1,1,36,1,1,TRUE,FALSE,TRUE,TRUE,35,-35,-36,-1,-1
1,1617,"Control",1.1,23,NA,16,"C",NA,"C",14,"C",9,NA,2,9,NA,2,TRUE,TRUE,NA,TRUE,7,-7,-9,NA,-2
1,2067,"Control",1.1,14,25,16,"A","A","A",14,"C",0,11,2,0,11,2,FALSE,FALSE,FALSE,FALSE,2,2,0,-11,-2
1,1549,"Control",1.1,10,10,10,"C","C","C",14,"C",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
2,584,"Social",1.1,60,5,15,"C","C","C",14,"C",46,-9,1,46,9,1,TRUE,TRUE,TRUE,TRUE,45,-45,-46,-9,-1
2,289,"Social",1.1,0.1,10,10,"C","C","A",14,"C",-13.9,-4,-4,13.9,4,4,FALSE,TRUE,TRUE,FALSE,9.9,-9.9,-13.9,-4,-4
2,534,"Social",1.1,14,14,14,"C","C","C",14,"C",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
2,1175,"Social",1.1,20,35,25,"C","C","C",14,"C",6,21,11,6,21,11,TRUE,TRUE,TRUE,TRUE,5,5,-6,-21,-11
2,2251,"Social",1.1,40,10,30,"C","C","C",14,"C",26,-4,16,26,4,16,TRUE,TRUE,TRUE,TRUE,10,-10,-26,-4,-16
2,2171,"Social",1.1,35,15,20,"C","C","C",14,"C",21,1,6,21,1,6,TRUE,TRUE,TRUE,TRUE,15,-15,-21,-1,-6
