"trial","subject_id","net","vignette","vignette_sex","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","neighbor_list","neighbor_avg_1","all_neighbor_list","neighbor_estimates_1","neighbor_avg_2","neighbor_estimates_2"
1,1011,"Control",1.1,"F",10,8,8,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,1181,"Control",1.1,"F",NA,20,40,NA,"C","B",14,"C",NA,NA,NA,NA,NA,NA
1,134,"Control",1.1,"F",65,NA,65,"C",NA,"C",14,"C",NA,NA,NA,NA,NA,NA
1,1549,"Control",1.1,"F",10,10,10,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1554,"Control",1.1,"F",5,5,5,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1582,"Control",1.1,"F",15,15,15,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1617,"Control",1.1,"F",23,NA,16,"C",NA,"C",14,"C",NA,NA,NA,NA,NA,NA
1,1673,"Control",1.1,"F",10,1,15,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1701,"Control",1.1,"F",NA,30,30,NA,"C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1736,"Control",1.1,"F",15,15,12,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1765,"Control",1.1,"F",40,40,40,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,1773,"Control",1.1,"F",5,3,3,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,1789,"Control",1.1,"F",70,90,90,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1797,"Control",1.1,"F",5,6,10,"B","A","A",14,"C",NA,NA,NA,NA,NA,NA
1,1800,"Control",1.1,"F",25,30,30,"A","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,1822,"Control",1.1,"F",25,25,25,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,1901,"Control",1.1,"F",57,50,50,"A","C","A",14,"C",NA,NA,NA,NA,NA,NA
1,194,"Control",1.1,"F",NA,15,15,NA,"A","A",14,"C",NA,NA,NA,NA,NA,NA
1,2024,"Control",1.1,"F",15,15,15,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,2037,"Control",1.1,"F",50,25,75,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,2055,"Control",1.1,"F",15,14,5,"B","C","B",14,"C",NA,NA,NA,NA,NA,NA
1,2067,"Control",1.1,"F",14,25,16,"A","A","A",14,"C",NA,NA,NA,NA,NA,NA
